Obs_Yield_t_ha,HarvestDOY,RainYearly,RadiationYearly,TmaxYearly,TminYearly
5.25,223,839.9538462,4372.456462,13.67970495,4.364573235
7.37,194,904.8384615,4473.467,14.56665964,5.064678609
7.56,216,784.1,4290.802692,14.04369483,4.873245061
6.53,215,925.7384615,4291.583077,13.68990516,4.744109589
6.22,216,837.6307692,4148.154462,12.49987355,3.795258166
7.26,214,713.2461538,4490.836538,14.52969442,4.745542677
6.82,210,827.2230769,4380.101462,14.03532997,4.62013451
7.24,219,818,4116.001308,13.30994731,4.677365648
8.46,206,752.2230769,4167.025846,14.99787144,5.658988409
7.87,206,638.1846154,4366.806846,15.18077977,5.342950474
6.75,203,925.9538462,4210.195077,14.30645229,5.062442203
7.92,208,798.7384615,4400.658462,14.35131718,4.783962065
7.18,202,682.6692308,4644.453077,15.82200211,5.843308746
8.17,204,697.4923077,4476.014,15.27776607,5.226786091
7.93,209,834.1384615,4556.12,14.98234552,5.179991593
7.39,217,884.8923077,4428.606615,13.87540569,4.387839831
7.76,186,715.1461538,4605.034538,16.65896733,5.747355111
6.49,216,1008.825,4207.754,13.77465753,4.741712329
7.11,210,1042.35,4329.5885,14.63258197,5.26079235
6.59,212,1067.85,4260.18275,13.65643836,4.458219178
6.54,208,1189.3,4335.479,14.58445205,5.017876712
5.88,204,685.975,4748.3655,14.82979452,3.919726027
7.49,223,846.25,4292.36575,13.46632514,4.121106557
6.67,217,1047.45,4319.21525,13.28486301,3.622534247
6.67,222,854.725,4448.2525,13.89041096,4.067739726
7.66,194,917.55,4513.52425,14.62965753,4.770821918
7.06,216,819.2,4347.12925,14.18531421,4.672540984
6.38,215,981.65,4290.04175,13.90342466,4.570410959
6.11,216,924.025,4145.1285,12.58,3.705684932
7.35,213,813.075,4535.47525,14.66972603,4.529041096
7.12,210,907.075,4388.756,14.06523224,4.456898907
7.28,220,928.4,4143.69425,13.18643836,4.28390411
8.48,207,806.175,4203.22425,15.02226027,5.408013699
8.13,206,727.475,4395.6685,15.25363014,5.065
7.13,204,955.825,4218.92875,14.3489071,4.920286885
7.45,208,870.4,4401.196,14.43369863,4.594726027
7.25,204,708.375,4657.071,15.73842466,5.531164384
8.51,205,776.225,4481.94875,15.27047945,4.994452055
7.74,209,893.825,4578.461,15.13135246,5.061885246
6.73,216,911.5,4486.238,14.07767123,4.25390411
6.92,186,758.5,4645.79875,16.78178082,5.582739726
6.81,218,945.2285714,4214.756429,13.68947162,4.559452055
7.44,214,992.3142857,4298.712,14.37076503,5.152498048
7.44,212,1000.657143,4276.119429,13.49710372,4.49702544
6.76,210,1076.485714,4313.661,14.31917808,5.016399217
6.87,204,614.0857143,4720.689714,14.79365949,3.93409002
8.3,224,814.9142857,4325.068571,13.30589383,4.213192818
7.43,220,958.3428571,4312.393571,13.14207436,3.662700587
7.06,223,737.7714286,4448.828571,13.77369863,4.358747554
7.84,195,920.0714286,4525.351286,14.32919765,4.980782779
7.99,215,794.9857143,4331.016143,13.93391881,4.821467603
6.72,220,829.2,4298.187714,13.65835616,4.428258317
6.8,218,942.4857143,4160.505571,12.17729941,3.615968689
8.07,214,759.5571429,4566.473,14.48559687,4.70332681
7.86,211,868.8857143,4417.086143,13.7745121,4.45991413
8.53,222,864.3571429,4116.648429,12.77522505,4.327710372
8.92,208,800.3285714,4204.557429,14.72837573,5.488375734
8.64,208,718.6571429,4413.994714,14.92414873,5.128923679
6.72,204,838.4,4231.608571,14.130484,5.06030445
8.44,210,848.8857143,4420.844,14.23178082,4.640939335
8.33,204,776.1714286,4729.645,15.40759295,5.554755382
8.61,207,748.5,4557.316286,14.91561644,5.080782779
9.21,208,765.7285714,4674.388143,14.94172521,5.241022639
7.86,218,880.1,4451.956571,13.617182,4.285322896
8.24,187,642.3285714,4782.208286,16.55362035,5.619295499
6.34,217,1197.88,4259.8004,13.78767123,4.736219178
7.1,212,1175.18,4362.7048,14.57546448,5.351202186
6.38,210,1255.84,4260.2998,13.62756164,4.679671233
6.37,206,1262.7,4320.8306,14.54372603,5.288273973
6.39,202,720.5,4722.5724,14.87950685,4.344986301
7.88,221,912.32,4297.9424,13.44174863,4.444043716
6.87,217,1045.3,4302.4068,13.32575342,4.007890411
6.54,221,939.32,4464.5502,13.98476712,4.302849315
7.75,193,1059,4524.0958,14.25852055,5.195945205
7.8,215,941.94,4383.388,13.8820765,4.985628415
6.61,217,1009.86,4306.9826,13.6830137,4.76630137
6.03,215,996.36,4166.7242,12.23934247,4.007561644
7.72,211,951.88,4587.8862,14.43676712,4.934082192
7.15,211,1016.02,4431.0448,13.70595628,4.707322404
7.49,222,963.04,4156.6864,12.80241096,4.484712329
8.03,207,836.56,4224.618,14.66821918,5.771452055
7.64,206,759.76,4420.2104,15.00060274,5.464383562
7.01,204,1064.08,4234.7912,14.12469945,5.148142077
8.63,209,929.46,4416.108,14.22586301,4.775671233
8.24,204,830.28,4723.7054,15.39391781,5.744876712
8.96,207,935.38,4554.3928,14.81994521,5.300931507
8.94,209,1003.24,4672.9214,14.8779235,5.363989071
7.6,215,984.3,4517.4196,13.67249315,4.479452055
8.05,186,894.84,4748.4324,16.49057534,5.927287671
6.72,220,792.9,4163.031273,13.39763387,4.95641345
7.14,215,773.3272727,4167.359,14.01743666,5.459041232
7.49,215,955.3090909,4159.165545,13.07596513,4.749788294
6.86,211,1007.590909,4201.569636,13.83372354,5.337733499
6.11,206,540.3545455,4681.170182,14.48044832,4.427770859
8.47,224,733.6,4233.228364,13.04533035,4.422404372
7.11,225,777.0727273,4207.138636,12.7913325,3.731855542
7.18,225,654.9636364,4334.366273,13.60739726,4.475616438
7.87,197,837.4454545,4434.995818,14.23995019,4.95003736
8.08,216,669.3363636,4245.933636,13.80812221,4.809711873
7.13,220,744.1,4201.049273,13.3969863,4.401867995
6.8,220,796.5727273,4063.585455,12.06826899,3.488891656
7.64,216,694.8727273,4425.000091,14.24353674,4.61003736
7.87,213,658.6727273,4316.422273,13.7407849,4.24076006
7.77,224,721.7272727,3994.205636,12.85402242,4.408767123
8.71,208,650.4545455,4100.917364,14.70039851,5.582017435
7.95,210,561.3272727,4264.471455,14.85521793,5.172851806
7.87,207,685.4272727,4116.914727,13.95471932,4.95052161
7.91,211,718.5090909,4252.836182,14.09202989,4.668343711
